pmid,publication_year,authors,title,abstract,residue_type,residue_origin,frap_value,frap_units,search_query
35886968,2022,"Gao, Meifang; Li, Yamin; Jiang, Haozhao; He, Rui; Shi, Rui; Song, Shiwei; Liu, Houcheng","UVA-Radiation Exposure of Different Durations Promoted the Growth, Phytochemicals and Glucosinolate Biosynthesis of Chinese Kale.","Ultraviolet-A (UVA) (315-400 nm) is an essential environmental signal that regulates plant development and affects phytochemicals biosynthesis, including glucosinolate biosynthesis. The effects of different UVA (380 ± 10 nm, 40 μmol/m<sup>2</sup>/s) exposure durations, including 0 h/d (UV0), 6 h/d (UV6) and 12 h/d (UV12), on the growth and phytochemicals of Chinese kale (<i>Brassica alboglabra</i>) under white 250 μmol/m<sup>2</sup>/s LEDs were investigated. UVA exposure of different durations influenced the growth and phytochemicals biosynthesis of Chinese kale. Prolonging UVA irradiation throughout the growth cycle positively affected the growth and the development of Chinese kale, with evident increases in the dry weights of shoots and roots, plant height, stem diameter, specific leaf weight and flower budding rate. The application of UVA increased the soluble sugar content, whereas higher flavonoid content and antioxidant capacity (FRAP) and lower nitrate content were only observed in Chinese kale exposed to UV6 treatment. Besides, the qPCR assay showed that supplemental UVA-radiation exposure up-regulated the gene expressions of <i>UVR8</i>, transcription factors genes and genes related to the glucosinolate biosynthesis pathway, thereby promoting the accumulation of glucosinolates. Therefore, supplemental UVA-radiation exposure for 12 h/d was more conducive to plant growth, while supplemental UVA-radiation exposure for 6 h/d was better for phytochemical biosynthesis in Chinese kale in an artificial-light plant factory.",,,250.0,μmol TE/g,"""kale"" AND FRAP AND antioxidant"
38628172,2024,"Liu, Haoyao; Agar, Osman Tuncay; Imran, Ali; Barrow, Colin J; Dunshea, Frank R; Suleria, Hafiz A R",LC-ESI-QTOF-MS/MS characterization of phenolic compounds in Australian native passion fruits and their potential antioxidant activities.,"Passion fruits, renowned globally for their polyphenolic content and associated health benefits, have enjoyed growing attention from consumers and producers alike. While global cultivar development progresses, Australia has pioneered several native cultivars tailored for its distinct planting conditions. Despite their cultivation, comprehensive studies on the phenolic profiles and antioxidant capacities of these Australian-native passion fruits are notably lacking. This study aims to investigate and compare the polyphenolic content present in the by-products, which are peel (L), and consumable portions, which are the pulp and seeds (P), of four indigenous cultivars: 'Misty Gem' (MG), 'Flamengo' (FG), 'Sweetheart' (SW), and 'Panama' (SH). Employing LC-ESI-QTOF-MS/MS for profiling, a comprehensive list of polyphenols was curated. Additionally, various antioxidant assays-DPPH, FRAP, ABTS, RPA, FICA, and •OH-RSA-were performed to evaluate their antioxidant potential. A total of 61 polyphenols were identified, categorized into phenolic acid (19), flavonoids (33), and other phenolic substances (9). In the antioxidant assays, the SHP sample exhibited the highest •OH<sup>-</sup>-RSA activity at 98.64 ± 1.45 mg AAE/g, while the FGL sample demonstrated prominent DPPH, FRAP, and ABTS activities with values of 32.47 ± 1.92 mg TE/g, 62.50 ± 3.70 mg TE/g, and 57.84 ± 1.22 mg AAE/g, respectively. Additionally, TPC and several antioxidant assays had a significant positive correlation, including DPPH, FRAP, and ABTS. The Australian-native passion fruits revealed distinct polyphenolic profiles and diverse antioxidant capacities, establishing a foundation for deeper health benefit analyses. This study accentuates the significance of understanding region-specific cultivars and their potential nutraceutical applications.",peel,,1.45,mg aae/g,"""seeds"" AND FRAP AND antioxidant"
38138437,2023,"Bao, Nina; Song, Jiajia; Zhao, Xinyuan; Rashed, Marwan M A; Zhai, Kefeng; Dong, Zeng",Mechanochemical-Assisted Extraction and Biological Activity Research of Phenolic Compounds from Lotus Seedpod (<i>Receptaculum Nelumbinis</i>).,"To explore the feasibility of the mechanochemical-assisted extraction (MCAE) of phenolic compounds from lotus seedpod (<i>Receptaculum Nelumbinis</i>), a single-factor experiment combined with response-surface methodology (RSM) was used to optimize the extraction process. The results showed the optimal extraction conditions as follows: Li<sub>2</sub>CO<sub>3</sub> as a solid reagent (25%), an extraction time of 80 min, liquid/solid ratio of 42.8 mL/g, and extraction temperature of 80.7 °C; and the maximum value of total phenolic content (TPC) was 106.15 ± 1.44 gallic acid equivalents (GAE)/g dry weight (DW). Additionally, the 2,2-Diphenyl-1-picrylhydrazyl (DPPH), 2,2'-azinobis (3-ethylbenzothiazoline-6-sulfonic acid) (ABTS), and ferric reducing antioxidant power (FRAP) were 279.75 ± 18.71, 618.60 ± 2.70, and 634.14 ± 7.17 µmol TE/g, respectively. Ultra-high pressure liquid chromatography combined with triple-time-of-flight mass spectrophotometry (UPLC-Triple-TOF/MS) analysis identified eight phenolic compounds mainly consisting of polyphenols and flavonoids. Moreover, the phenolic compounds showed potent inhibitory effects on both α-amylase and α-glucosidase, with inhibition rates of over 80%. Furthermore, the results showed different degrees of inhibition activity against <i>Bacillus subtilis</i>, <i>Staphylococcus aureus,</i> and <i>Escherichia coli</i>, among which the inhibitory effect on the growth of <i>B. subtilis</i> was the best. This paper shows that the phenolic compounds have good biological activities, which provides a reference for the further exploitation of LSP.",,,7.17,µmol te/g,"""seeds"" AND FRAP AND antioxidant"
32887367,2020,"Palmieri, Sara; Pellegrini, Marika; Ricci, Antonella; Compagnone, Dario; Lo Sterzo, Claudio","Chemical Composition and Antioxidant Activity of Thyme, Hemp and Coriander Extracts: A Comparison Study of Maceration, Soxhlet, UAE and RSLDE Techniques.","Appropriate and standardized techniques for the extraction of secondary metabolites with interesting biological activity from plants are required. In this work, a comparison of different conventional and unconventional extraction techniques (maceration-M, Soxhlet-S, ultrasound assisted extraction-UAE, and rapid solid-liquid dynamic extraction-RSLDE) was investigated. Bioactive compounds were extracted from <i>Thymus vulgaris</i> L. (thyme), <i>Cannabis sativa</i> L. (industrial hemp) and <i>Coriandrum sativum</i> L. (coriander) and chemically characterized for their volatile fraction and polyphenolic content by means of gas chromatography-mass spectrometry (GC-MS) and high performance liquid chromatography-ultraviolet (HPLC-UV). Linalool (48.19%, RSLDE) and carvacrol (21.30%, M) for thyme, caryophyllene (54.78%, S) and humulene (14.13%, S) for hemp, and linalool (84.16%, RSLDE) for coriander seeds were the main compounds among terpenes, while thyme was the richest source of polyphenols with rosmarinic acid (51.7 mg/g dry extract-S), apigenin (7.6 mg/g dry extract-S), and luteolin (4.1 mg/g dry extract-UAE) being the most abundant. In order to shed light on their potential as natural food preservatives, the biological activity of the extracts was assessed in terms of antioxidant activity (2,2'-azino-bis(3-ethylbenzothiazoline-6-sulphonic acid-ABTS˙<sup>+</sup>, ferric reducing antioxidant power-FRAP, 2,2-diphenyl-1-picrylhydrazyl-DPPH˙ assays) and phenolic content (Folin-Ciocâlteu method). For thyme, Soxhlet extracts showed best performances in FRAP and ABTS˙<sup>+</sup> assays (74 mg TE/g dry extract and 134 mg TE/g dry extract, respectively), while Soxhlet and RSLDE extracts recorded similar activity in DPPH˙ (107-109 mg TE/g dry extract). For hemp and coriander, indeed, RSLDE extracts accounted for higher antioxidant activity as evidenced by FRAP (80 mg TE/g dry extract and 18 mg TE/g dry extract, respectively) and ABTS˙<sup>+</sup> (557 mg TE/g dry extract and 48 mg TE/g dry extract, respectively) assays. With respect to DPPH˙, the best results were observed for UAE extracts (45 mg TE/g dry extract and 220 mg TE/g dry extract, respectively). Our findings suggest that all the investigated techniques are valid extraction methods to retain bioactive compounds and preserve their activity for application in food and pharmaceutical formulations. Among them, the innovative RSLDE stands out for the slightly higher antioxidant performances of the extracts, coupled with the facility of use and standardization of the extraction process.",,,74.0,mg te/g,"""seeds"" AND FRAP AND antioxidant"
32707963,2020,"Chepel, Victoria; Lisun, Valery; Skrypnik, Liubov",Changes in the Content of Some Groups of Phenolic Compounds and Biological Activity of Extracts of Various Parts of Heather (<i>Calluna vulgaris</i> (L.) Hull) at Different Growth Stages.,"Heather (<i>Calluna vulgaris</i> (L.) Hull.) is noted for a diverse chemical composition and a broad range of biological activity. The current study was aimed at monitoring changes in the accumulation of certain groups of phenolic compounds in various organs of heather (leaves, stems, roots, rhizomes, flowers, and seeds) at different growth stages (vegetative, floral budding, flowering, and seed ripening) as well as studying antioxidant (employing the DPPH and FRAP assays) and antibacterial activity of its extracts. The highest total amount of phenolic compounds, tannins, flavonoids, hydroxycinnamic acids, and proanthocyanidins was detected in leaves and roots at all growth stages, except for the flowering stage. At the flowering stage, the highest content of some groups of phenolic compounds (flavonoids, proanthocyanidins, and anthocyanins) was observed in flowers. Highest antioxidant activity was recorded for the flower extracts (about 500 mg of ascorbic acid equivalents per gram according to the DPPH assay) and for the leaf extract at the ripening stage (about 350 mg of ascorbic acid equivalents per gram according to the FRAP assay). Strong correlation was noted between antioxidant activity (DPPH) and the content of anthocyanins (<i>r</i> = 0.75, <i>p</i> ≤ 0.01) as well as between antioxidant activity (FRAP) and the total content of phenolic compounds (<i>r</i> = 0.77, <i>p</i> ≤ 0.01). Leaf extracts and stem extracts turned out to perform antibacterial action against both gram-negative and gram-positive bacteria, whereas root extracts appeared to be active only against <i>B. subtilis</i>, and rhizome extracts against <i>E. coli</i>.",hull,pear,350.0,mg/g,"""seeds"" AND FRAP AND antioxidant"
27642353,2016,"Mohammed, Nameer Khairullah; Abd Manap, Mohd Yazid; Tan, Chin Ping; Muhialdin, Belal J; Alhelli, Amaal M; Meor Hussin, Anis Shobirin","The Effects of Different Extraction Methods on Antioxidant Properties, Chemical Composition, and Thermal Behavior of Black Seed (Nigella sativa L.) Oil.","The Nigella sativa L. popularly referred to as black seeds are widely used as a form of traditional nutrition and medicine. N. sativa seeds were used for the extraction of their oil by way of supercritical fluid extraction (SFE) and cold press (CP) to determine the physicochemical properties, antioxidant activity, and thermal behavior. The GC-MS results showed the primary constituents in the Nigella sativa oil (NSO) were Caryophyllene (17.47%) followed by thymoquinone (TQ) (11.80%), 1,4-Cyclohexadiene (7.17%), longifolene (3.5%), and carvacrol (1.82%). The concentration of TQ was found to be 6.63 mg/mL for oil extracted using SFE and 1.56 mg/mL for oil extracted by CP method. The antioxidant activity measured by DPPH and the IC50 was 1.58 mg/mL and 2.30 mg/mL for SFE oil and cold pressed oil, respectively. The ferric reducing/antioxidant power (FRAP) activity for SFE oil and CP oil was 538.67 mmol/100 mL and 329.00 mmol/100 mL, respectively. The total phenolic content (TPC) of SFE oil was 160.51 mg/100 mL and 94.40 mg/100 mL for CP oil presented as gallic acid equivalents (GAE). This research showed that a high level of natural antioxidants could be derived from NSO extracted by SFE.",,,6.63,mg/g,"""seeds"" AND FRAP AND antioxidant"
21548651,2011,"Zhang, Rui Fen; Zhang, Fang Xuan; Zhang, Ming Wei; Wei, Zhen Cheng; Yang, Chun Ying; Zhang, Yan; Tang, Xiao Jun; Deng, Yuan Yuan; Chi, Jian Wei",Phenolic composition and antioxidant activity in seed coats of 60 Chinese black soybean (Glycine max L. Merr.) varieties.,"Phenolics in black soybean seed coat (BSSC) are considered to be responsible for the health benefits of black soybean. BSSCs of 60 Chinese varieties were examined for phenolic contents, anthocyanin profiles, and antioxidant activity. Total phenolic and condensed tannin contents ranged from 512.2 to 6057.9 mg gallic acid equivalents/100 g and from 137.2 to 1741.1 mg (+)-catechin equivalents/100 g, respectively. Six anthocyanins (delphinidin-3-glucoside, cyanidin-3-galactoside, cyanidin-3-glucoside, petunidin-3-glucoside, peonidin-3-glucoside, and malvidin-3-glucoside) were detected by HPLC. Total anthocyanin contents (TAC) were from 98.8 to 2132.5 mg/100 g, and cyanidin-3-glucoside was the most abundant anthocyanin in all varieties, with a distribution of 48.8-94.1% of TAC. Antioxidant properties detected by DPPH, FRAP, and ORAC methods all showed wide variations ranging from 4.8 to 65.3 μg/100 mL (expressed as EC(50)), from 17.5 to 105.8 units/g, and from 42.5 to 1834.6 μmol Trolox equivalent/g, respectively. Sixty varieties were classified into four groups by hierarchical clustering analysis, and group 4 consisting of nine varieties had the highest phytochemicals content and antioxidant activity.",,,1834.6,μmol trolox equivalent/g,"""seeds"" AND FRAP AND antioxidant"
21172412,2011,"Pohanka, Miroslav; Sobotka, Jakub; Stetina, Rudolf",Sulfur mustard induced oxidative stress and its alteration by epigallocatechin gallate.,"Sulfur mustard (bis(2-chloroethyl)sulfide; CAS: 505-60-2; abbreviated as HD) is a chemical warfare agent with not well understood mechanism of toxic effect. Deprivation of energy in cells and arising of oxidative stress appears during the exposure. Our experiment is based on investigation of 10mg or 20mg epigallocatechin gallate (EGCG) dose prophylactic effect (1h before HD) in rats exposed to either 20mg or 80 mg of HD. Blood mass, plasma and liver were sampled. Ferric reducing antioxidant power (FRAP), reduced glutathione, thiobarbuturic acid reactive substances (TBARSs), glutathione reductase, glutathione S-transferase and caspase 3 were assessed. Animals were sacrificed one day after exposure. We found significant deprivation of low molecular weight antioxidants due to EGCG but not due to HD. However, HD depleted reduced glutathione. EGCG has no effect to influence TBARS level. EGCG and HD up-regulated glutathione reductase and EGCG down regulated glutathione S-transferase in liver tissue. Regarding caspase, EGCG had anti apoptotic potency. We discuss potency to use EGCG to ameliorate redox balance after HD exposure. The data also appoints at difficulty in antioxidant therapy as prophylaxis to the oxidative stress related toxins exposure and ambivalent modulation of oxidative stress.",,pear,20.0,mg/g,"""mustard"" AND FRAP AND antioxidant"
37605067,2023,"Bayrak, Çiğdem; Birinci, Ceren; Kemal, Mehmet; Kolayli, Sevgi",The Phenolic Composition and Antioxidant Properties of Figs (Ficus carica L.) Grown in the Black Sea Region.,"This study compared the phenolic composition and antioxidant properties of three varieties of fig fruits (Ficus carica L) from the Eastern Black Sea region of Türkiye. Total polyphenol content (TPC), total flavonoid content (TFC), and phenolic compositions were analyzed in green, purple, and dark purple species. The mean TPC value was 42.10 ± 5.71 mg GAE/100 g FW, ranging from 35.98 to 47.30 mg GAE/100 g FW, and was highest in the dark purple species. The mean TFC value was 1.27 ± 0.93 mg QUE/100 FW g, ranging between 0.35 and 2.21 mg QUE/100 FW g, and was highest in the purple species. The samples' total antioxidant capacity was measured based on ferric reducing/antioxidant power (FRAP), the values ranging from 151.98 to 372.97 μmol FeSO<sub>4</sub>.7H<sub>2</sub>O/100 g FW, with an average value of 239.64 μmol FeSO<sub>4</sub>.7H<sub>2</sub>O/100 g FW, being highest in the dark purple species. The 2,2-Diphenyl-1-picrylhydrazyl (DPPH) radical scavenging activity of the fruits was expressed as SC<sub>50</sub> (mg/mL), and the values ranged from 10.04 to 42.42 mg/mL, being highest in the purple species. The phenolic composition was analyzed using HPLC-PDA according to the method in which 25 phenolic standards were used. Chlorogenic acid and t-cinnamic acid were the most common phenolic compounds, with rutin, chrysin, apigenin, and luteolin being detected at different amounts. In conclusion, the purple species contained the highest flavonoid content, was rich in apigenin, luteolin, and chrysin, and possessed the highest DPPH radical scavenging activity.",,,5.71,mg/g,"""figs"" AND FRAP AND antioxidant"
38338341,2024,"Bouymajane, Aziz; Filali, Fouzia Rhazi; Moujane, Soumia; Majdoub, Yassine Oulad El; Otzen, Philipp; Channaoui, Souhail; Ed-Dra, Abdelaziz; Bouddine, Toufik; Sellam, Khalid; Boughrous, Ali Ait; Miceli, Natalizia; Altemimi, Ammar B; Cacciola, Francesco","Phenolic Compound, Antioxidant, Antibacterial, and In Silico Studies of Extracts from the Aerial Parts of <i>Lactuca saligna</i> L.","Medicinal plants are considered a major source for discovering novel effective drugs. To our knowledge, no studies have reported the chemical composition and biological activities of Moroccan <i>Lactuca saligna</i> extracts. In this context, this study aims to characterize the polyphenolic compounds distributed in hydro-methanolic extracts of <i>L. saligna</i> and evaluate their antioxidant and antibacterial activities; in addition, in silico analysis based on molecular docking and ADMET was performed to predict the antibacterial activity of the identified phenolic compounds. Our results showed the identification of 29 among 30 detected phenolic compounds with an abundance of dicaffeoyltartaric acid, luteolin 7-glucoronide, 3,5-di-<i>O</i>-caffeoylquinic acid, and 5-caffeoylquinic acid with 472.77, 224.30, 196.79, and 171.74 mg/kg of dried extract, respectively. Additionally, antioxidant activity assessed by DPPH scavenging activity, ferric reducing antioxidant power (FRAP) assay, and ferrous ion-chelating (FIC) assay showed interesting antioxidant activity. Moreover, the results showed remarkable antibacterial activity against <i>Escherichia coli</i>, <i>Salmonella typhimurium</i>, <i>Pseudomonas aeruginosa</i>, <i>Enterococcus faecalis</i>, <i>Staphylococcus aureus</i>, and <i>Listeria monocytogenes</i> with minimum inhibitory concentrations between 1.30 ± 0.31 and 10.41 ± 0.23 mg/mL. Furthermore, in silico analysis identified three compounds, including Apigenin 7-<i>O</i>-glucuronide, Quercetin-3-<i>O</i>-glucuronide, and 3-p-Coumaroylquinic acid as potent candidates for developing new antibacterial agents with acceptable pharmacokinetic properties. Hence, <i>L. saligna</i> can be considered a source of phytochemical compounds with remarkable activities, while further in vitro and in vivo studies are required to explore the main biological activities of this plant.",,,171.74,mg/g,"""lettuce"" AND FRAP AND antioxidant"
40724241,2025,"Kurnianto, Muhammad Alfid; Adirama, Safrina Isnaini; Xu, Wenxi; Winarti, Sri; Rini, Dina Mustika","Enhancing the Quality of Traditional Indonesian Shrimp Paste (<i>Terasi</i>) Through <i>Tetragenococcus halophilus</i> 54M106-3 Inoculation: Physicochemical, Sensory, and Bioactivity Insights.","<i>Terasi</i> is a traditional Indonesian fermented condiment made from rebon shrimp and salt. This study investigated the effects of <i>Tetragenococcus halophilus</i> inoculation and varying salt concentrations (6%, 12%, and 18%) on the physicochemical and sensory properties of <i>terasi</i>, compared to a non-inoculated control (25% salt), after 7, 14, and 21 days of fermentation. Inoculation decreased pH, soluble protein, and texture while increasing N-amino acid content, moisture, lactic acid bacteria (LAB), and color darkening. Higher salt levels raised pH, soluble protein, and texture but reduced N-amino acids, moisture, and LAB, resulting in a lighter color. LAB activity peaked on day 7, with moisture and texture increasing over time. Sensory analysis favored inoculated samples, and TOPSIS identified <i>terasi</i> with <i>T. halophilus</i>, 6% salt, and 7 days of fermentation as optimal in quality and preference. This formulation also demonstrated strong bioactivity, including antioxidant activity (3.90 mg AEAC/g sample by DPPH assay and 8.76 ± 0.22 mg AEAC/g sample by FRAP assay), antidiabetic potential via α-amylase and α-glucosidase inhibition (IC<sub>50</sub> of 1.95 and 7.24 mg/mL), and antimicrobial effects against <i>E. coli</i> (32.78 mm) and <i>S. aureus</i> (30.85 mm). These results suggest that <i>T. halophilus</i>-inoculated <i>terasi</i> offers enhanced quality and functional properties, supporting its potential as a health-promoting fermented food product.",,,3.9,mg/g,"""salt"" AND FRAP AND antioxidant"
39683214,2024,"Angeles Flores, Giancarlo; Cusumano, Gaia; Zengin, Gokhan; Cetiz, Mehmet Veysi; Uba, Abdullahi Ibrahim; Senkardes, Ismail; Koyuncu, Ismail; Yuksekdag, Ozgur; Kalyniukova, Alina; Emiliani, Carla; Venanzoni, Roberto; Angelini, Paola",Using In Vitro and In Silico Analysis to Investigate the Chemical Profile and Biological Properties of <i>Polygonum istanbulicum</i> Extracts.,"The present study investigates the chemical profile and biological activities of <i>Polygonum istanbulicum</i> M. Keskin, a species endemic to Turkey, aiming to explore its potential applications in pharmacology. We assessed its phenolic and flavonoid content by employing ethyl acetate, methanol, and water as extraction solvents. The methanol extract demonstrated the highest concentrations of these compounds, with liquid chromatography-quadrupole time-of-flight tandem mass spectrometry (LC-MS-qTOF) analysis identifying a wide range of bioactive substances, such as derivatives of quercetin and myricetin. Antioxidant capacity was evaluated using 2,2-Diphenyl-1-picrylhydrazyl (DPPH), 2,2'-Azino-bis(3-ethylbenzothiazoline-6-sulfonic acid) diammonium salt (ABTS), cupric-reducing antioxidant capacity (CUPRAC), ferric-reducing antioxidant power (FRAP), and phosphomolybdenum assays, with the methanol extract showing the most potent activity (DPPH: 892.22 mg Trolox equivalent (TE)/g; ABTS: 916.21 mg TE/g; CUPRAC: 1082.69 mg TE/g; FRAP: 915.05 mg TE/g). Enzyme inhibition assays highlighted the efficacy of <i>P. istanbulicum</i> extracts against key enzymes, with potential implications for managing Alzheimer's disease, hyperpigmentation, and type 2 diabetes. Cytotoxicity tests against various cancer cell lines showed notable activity, particularly with the aqueous extract on the HGC-27 cell line (IC<sub>50</sub>: 29.21 µg/mL), indicating potential for targeted anti-cancer therapy. Molecular docking and molecular dynamics simulations further supported the binding affinities of quercetin and myricetin derivatives to cancer-related proteins, suggesting significant therapeutic potential. This study underscores the value of <i>P. istanbulicum</i> as a source of bioactive compounds with applications in antioxidant, anti-cancer, and enzyme-inhibitory treatments.",,rice,915.05,mg te/g,"""salt"" AND FRAP AND antioxidant"
35592298,2022,"Liu, Xiaokang; Wang, Yang; Ge, Wei; Cai, Guangzhi; Guo, Yunlong; Gong, Jiyu",Spectrum-effect relationship between ultra-high-performance liquid chromatography fingerprints and antioxidant activities of <i>Lophatherum gracile</i> Brongn.,"<i>Lophatherum gracile</i> Brongn. is a medicinal and edible plant resource as well as a natural additive in the functional food market. To better understand its characteristics and efficacy, a method combining chromatographic fingerprints and antioxidant activity was proposed. A total of 21 common peaks were confirmed from liquid chromatography fingerprints and were identified as 14 flavonoids and 7 phenolic acids by ultra-high-performance liquid chromatography (UHPLC) coupled with quadrupole Orbitrap mass spectrometry (Q-Orbitrap/MS). Their antioxidant activities were evaluated by 1,1-diphenyl-2-trinitrophenylhydrazine (DPPH), 2,2'-diazide-bis (3-ethylbenzothiazoline-6-sulfonic acid) diammonium salt (ABTS), and ferric reducing antioxidant power (FRAP) assay. The results showed that all of the test samples had moderate to high antioxidant effects, with IC50 values ranging from 5.2 to 16.1 mg/ml and 1.2 to 2.8 mg/ml for DPPH and ABTS assays, and the FeSO<sub>4</sub> concentrations of 1.84-4.20 mmol/L for the FRAP assay. The spectrum-effect relationship between UHPLC fingerprints and antioxidant activity was investigated through Pearson correlation analysis and Grey relational analysis (GRA) to identify the antioxidant constitutes in <i>Lophatherum gracile</i> Brongn. The results showed that 11 compounds were greatly associated with the antioxidant activity with a correlation degree >0.80, which can be used as the quality marker of <i>Lophatherum gracile</i> Brongn.",,pear,16.1,mg/g,"""salt"" AND FRAP AND antioxidant"
33806398,2021,"Liu, Xuelian; Chen, Ting; Wang, Qin; Liu, Jiaai; Lu, Yuhao; Shi, Yan",Structure Analysis and Study of Biological Activities of Condensed Tannins from <i>Bruguiera gymnorhiza</i> (L.) Lam and Their Effect on Fresh-Cut Lotus Roots.,"<i>Bruguiera gymnorhiza</i> (L.) Lam is a mangrove plant that spread in many parts of the world. Though mangrove plant polyphenols have been reported to exhibit many biological activities, little is known about mangrove plant tannins. To explore the application value of tannins from <i>B. gymnorhiza</i>, analyses on the structure and biological activity of condensed tannins (CTs) from <i>Bruguiera gymnorhiza</i> (L.) Lam were carried out. The results from <sup>13</sup>C nuclear magnetic resonance (<sup>13</sup>C-NMR) and reversed-phase, high-performance liquid chromatography (RP-HPLC) showed that the CTs were dominated by procyanidins, with a small quantity of prodelphinidins and propelargonidins; and that the monomeric constituents of <i>B. gymnorhiza</i> tannins were catechin/epicatechin, gallocatechin/epigallocatechin and afzelechin/epiafzelechin. The CTs were reversible and mixed competitive inhibitors of tyrosinase and the 50% inhibiting concentration (IC<sub>50</sub>) was estimated to be 123.90 ± 0.140 μg/mL. The antioxidant activities of CTs from <i>B. gymnorhiza</i> leaves were evaluated, the IC<sub>50</sub> for 2,2-diphenyl-1-picrylhydrazyl (DPPH) and 2,2'-azino-bis (3-ethylbenzo-thiazoline-6-sulfonic acid diammonium salt) (ABTS) scavenging activities were 88.81 ± 0.135 and 105.03 ± 0.130 μg/mL, respectively, and the ferric ion reducing antioxidant power (FRAP) value was 1052.27 ± 4.17 mgAAE/g. In addition, the results from fresh-keeping assays on fresh-cut lotus root reveal that CTs from <i>B. gymnorhiza</i> had excellent effects on inhibiting the activities of polyphenol oxidase (PPO) and peroxidase (POD), protecting fresh-cut lotus root from the oxidation of total phenolics and malondialdehyde (MDA) content and slowing the increase in total phenol content (TPC) at 4 °C during the whole storage period. Therefore, CTs showed good effects against the browning of fresh-cut lotus root. Together, these results suggested that <i>B. gymnorhiza</i> CTs are promising antibrowning agents for fresh-cut fruits.",,,4.17,mgaae/g,"""salt"" AND FRAP AND antioxidant"
26783839,2015,"Omoba, Olufunmilayo Sade; Obafaye, Rebeccah Olajumoke; Salawu, Sule Ola; Boligon, Aline Augusti; Athayde, Margareth Linde",HPLC-DAD Phenolic Characterization and Antioxidant Activities of Ripe and Unripe Sweet Orange Peels.,"Phenolic compounds of unripe and ripe sweet orange peels were determined using a high-performance liquid chromatography separation method with diode array detector (HPLC-DAD). The in vitro antioxidant properties and the EC50 (concentration required to obtain a 50% antioxidant effect) values were also determined. The predominant phenolic compounds were quercitrin, rutin, and quercetin with values of 18.77 ± 0.01 mg/mL, 18.65 ± 0.03 mg/mL, and 10.39 ± 0.01 mg/mL respectively in unripe orange peel and 22.61 ± 0.01 mg/mL, 17.93 ± 0.03 mg/mL, and 14.03 ± 0.02 mg/mL respectively in ripe orange peel. The antioxidant properties revealed 2,2'-azino-bis(3-ethyl benzothiazoline-6-sulfonic acid) diammonium salt (ABTS) scavenging ability of both unripe and ripe orange peels respectively as 14.68 ± 0.01 and 16.89 ± 0.02 mmol TEAC/g, the Ferric Reducing Antioxidant Properties (FRAP) as 70.69 ± 0.01 and 91.38 ± 0.01 mg gallic acid equivalents/100g, total phenol content as 5.27 ± 0.03 and 9.40 ± 0.01 mg gallic acid equivalents/g and total flavonoid content as 3.30 ± 0.30 and 4.20 ± 0.02 mg quercetin equivalent/g. The antioxidant assays showed enhanced potency of extract from ripe orange peel with EC50 values of 2.71 ± 0.03 mg/mL for 2,2-diphenyl-1-picrylhydrazyl (DPPH), 0.67 ± 0.03 mg/mL for hydroxyl radicals (OH*), 0.57 ± 0.02 mg/mL for Fe(2+) chelation, and 0.63 ± 0.06 mg/mL for malondialdehyde (MDA), and was more potent than unripe orange peel.",peel,orange,0.02,mmol/g,"""salt"" AND FRAP AND antioxidant"
25681473,2015,"Munekata, P E S; Calomeni, A V; Rodrigues, C E C; Fávaro-Trindade, C S; Alencar, S M; Trindade, M A",Peanut skin extract reduces lipid oxidation in cooked chicken patties.,"The objectives of this study were to evaluate the antioxidant capacity of peanut skin extract and its effect on the color and lipid oxidation of cooked chicken patties over 15 d of refrigerated storage. The extract was obtained using 80% ethanol and evaluated in terms of total phenolic content, reducing power based on the ferric reducing ability of plasma (FRAP) reagent, and 1,1-diphenyl-2-picrylhydrazyl (DPPH) radical scavenging activity. The patties were made with ground thigh fillets, chicken skin, and 2% salt. They were homogenized and divided into the following two groups: a control treatment without antioxidants and a peanut skin treatment with 70 mg gallic acid equivalent (GAE)/kg per patty. Analyses of the fatty acid profiles, instrumental colors (L*, a*, and b*) and thiobarbituric acid reactive substances (TBARS) were performed on d 1, 8, and 15 of storage at 1±1ºC. The peanut skin extract resulted in a phenolic content of 32.6±0.7 mg GAE/g dry skin, an antioxidant activity (FRAP) of 26.5±0.8 6 μmol Trolox equivalent/g dry skin, and an efficient concentration (EC50) of 46.5 μg/mL. The total unsaturated fatty acid was approximately 73%, and 39% of this fatty acid content was monounsaturated. The peanut skin extract slowed the decrease in the a* values (P<0.05) but reduced the L* and b* values compared to the control samples during storage (P<0.05). Lipid oxidation was minimized by the peanut skin extract (P<0.05), which resulted in a maximum value of 0.97 malondialdehyde (MDA)/kg compared to values that were close 19 mg MDA/kg patties in the control sample at the end of storage period. Thus, it can be concluded that although peanut skin extract causes little color change, it can be applied as a natural antioxidant to cooked chicken patties because it efficiently inhibits lipid oxidation in this product during refrigerated storage.",,,0.7,mg/g,"""salt"" AND FRAP AND antioxidant"
