Food Product,Moisture,Protein,Fat,Total Carbohydrates,Sugars,Dietary Fiber,Crude Fiber,Ash,Side Stream
"Lupin, 'Sur', seeds, raw",,28.6928,5.7204,,,,15.0728,3.8136,
"Lupin, 'Saturn', seeds, raw",,31.5898,5.386699999999999,,,,14.4254,3.9259,
"Lupin, 'Polonez', seeds, raw",,31.5084,5.082000000000001,,,,13.9524,3.6036,
"Lupin, 'Wat', White, seed, whole, raw",,,8.817106,,,36.07080800000001,10.658942,,
"Lupin, 'Wat', White, seed, whole, raw",,,8.92961,,,36.59922,12.49021,,
"Lupin, 'Hetman', White, seed, whole, raw",,,9.856152,,,32.066064,9.059424,,
"Lupin, 'Hetman', White, seed, whole, raw",,,9.26793,,,35.19372,11.10837,,
"Lupin, 'Bardo', White, seed, whole, raw",,,9.537329,,,33.061542,9.384516,,
"Lupin, 'Bardo', White, seed, whole, raw",,,9.4581,,,35.4981,11.8854,,
"Lupin, seeds, mature, raw",4.9,41.77743,8.33076,,,16.85172,,3.29997,
"Lupin, seeds, mature, raw",4.3,41.78262,6.99567,,,20.16399,,4.08639,
"Lupin, seeds, mature, raw",6.0,32.6744,5.734,,,19.646,,3.6096,
"Lupin, seeds, mature, raw",5.1,40.25658000000001,7.18393,,,23.37387,,3.45436,
"Lupin, seeds, mature, raw",4.0,40.2816,6.192,,,26.8128,,2.976,
"Dolichos bean, 'Kala Urahi', Black, white eye, seeds, raw",10.9,26.4627,1.4256,,,,7.234919999999999,3.2967,
"Dolichos bean, 'Boga Urahi', Cofee-brown, white eye, seeds, raw",11.16,27.80692,1.3326,,,,8.555292000000001,2.93172,
"Dolichos bean, 'Rangee Urahi', Reddish brown, white eye, seeds, raw",12.91,24.12393,1.56762,,,,6.636258000000001,2.96106,
"Dolichos bean, 'Kajala Urahi', Mottled black, white eye, seeds, raw",12.98,19.49248,1.7404,,,,7.283573999999999,3.39378,
"Dolichos bean, 'Mattar Urahi', Brown, white eye, seeds, raw",13.29,22.97815,1.64749,,,,7.587125000000001,2.94814,
"Faba bean, 'Kalimattar', black, seeds, raw",10.4,20.3,1.3,55.0,,,9.8,3.1,
"Faba bean, 'White', seeds, raw",10.4,18.5,2.9,58.0,,,7.2,3.0,
"Rice bean, 'RBL-4', seeds, brown, raw",10.3,15.4284,0.43953,,5.0232,,5.9202,3.8571,
"Rice bean, 'RBL-6', seeds, light brown, raw",10.5,15.752,0.43855,,4.5645,,6.7125,3.759,
"Rice bean, 'RBL-121', seeds, greenish brown, raw",10.4,16.128,0.46592,,4.8384,,6.4512,3.9424,
"Rice bean, 'Beziamah', seeds, light brown, raw",10.6,15.1086,0.41124,,4.3806,,5.6322,3.933600000000001,
"Adzuki bean, whole seeds, raw",12.3,22.1004,0.63144,50.0767,,,,2.8064,
"Rice bean, whole seeds, raw",11.7,23.3995,0.59161,43.7968,,,,3.47902,
"Hyacinth bean, whole seeds, raw",11.4,22.0614,2.29474,43.5912,,,,3.33136,
"Rice bean, var. RB-4, seeds, raw",10.34,17.2,,,5.6,,6.64,4.4,
"Rice bean, var. RB-32, seeds, raw",10.36,17.5,,,5.6,,7.72,4.42,
"Rice bean, var. RB-37, seeds, raw",10.49,18.5,,,4.8,,7.45,4.18,
"Rice bean, var. RB-40, seeds, raw",10.6,18.1,,,5.1,,6.8,4.47,
"Rice bean, var. RB-53, seeds, raw",10.28,18.1,,,5.0,,6.84,4.42,
"Green gram, var. K-851, seeds, raw",10.81,20.6,,,5.9,,4.86,3.36,
"Black gram, var. MT-9, seeds, raw",11.07,20.2,,,3.3,,7.19,3.64,
"Common bean, Sen46, black, seed, raw",11.57,21.57692,0.6632250000000001,,5.376544,21.178985,,3.669845000000001,
"Common bean, INTA Linea 628-08, bright red, seed, raw",12.96,20.28032,0.7398399999999999,,4.804607999999999,20.619776,,4.056063999999999,
"Common bean, INTA Linea 628-09, dark red, seed, raw",13.51,19.20078,0.8821979999999999,,5.639147999999999,20.281905,,4.142871,
"Common bean, INTA Rojo, non uniform red, seed, raw",13.29,20.37685,0.919126,,6.581289000000001,22.076366,,3.884608000000001,
"Common bean, 'Mexican 142', seed, raw",10.7,27.5,2.5,50.9,,,4.6,3.8,
"Common bean, 'Red Kidney', seed, raw",13.0,25.3,2.0,53.2,,,3.3,3.3,
"Common bean, 'Rosecoco', seed, raw",11.5,28.0,2.7,50.6,,,4.1,3.2,
"Common bean, 'Red Haricot', seed, raw",11.6,27.1,2.8,50.4,,,4.1,4.1,
"Common bean, Mwitemania, seed, raw",10.8,30.2,1.9,48.7,,,4.3,4.3,
"African Yam bean, seed, raw",9.27,23.53,1.51,60.16,,,2.27,3.27,
"Lima bean, seed, raw",9.32,24.46,5.93,54.43,,,2.51,3.37,
"Lima bean, var. Ukpa, seed, raw",2.7,23.17,0.21,,4.48,18.4,,2.78,
"Pigeon pea, seed, raw",9.7,22.04,2.7,62.06,,,2.2,1.3,
"Bambara groundnut, seed, raw",14.03,22.06,2.02,55.63,,,2.31,3.97,
"Lima bean, seed, raw",14.02,25.01,3.05,51.64,,,1.98,4.31,
"Pigeon pea, seed, raw",15.13,25.98,1.91,48.31,,,4.62,4.06,
"Pigeon pea, seed, raw",13.99,26.06,2.36,49.4,,,4.06,4.14,
"Lentil, Brown, seed, raw",10.7,22.88759,1.9646,43.4891,4.473929999999999,,19.3781,2.47361,
"Lentil, Red, Sazak 91, seed, raw",11.0,24.7865,0.9434,,,,4.0139,3.0438,
"Lentil, Green, Kayı 91, seed, raw",10.6,24.71016,0.67944,,,,3.3972,1.90422,
"Lentil, Red, Kafkas, seed, raw",9.4,24.76098,0.91506,,,,5.435999999999999,2.7633,
"Lentil, Red, Çiftçi, seed, raw",8.9,24.6881,1.05676,,,,4.035729999999999,2.16818,
"Lentil, Red, Özbek, seed, raw",8.9,24.76098,0.98388,,,,5.465999999999999,2.769439999999999,
"Lentil, Red, Fırat 87, seed, raw",7.2,24.74048,0.86304,,,,4.890559999999999,2.24576,
"Lentil, Red, Cagıl, seed, raw",8.0,24.6836,1.2604,,,,4.7932,2.5852,
"Lentil, Red, Seyran 96, seed, raw",7.5,24.7715,1.332,,,,4.4215,2.3495,
"Lentil, Red, Altıntoprak, seed, raw",8.1,24.79462,1.13956,,,,4.4112,2.86728,
"Lentil, Red, Local red, seed, raw",8.3,24.79568,1.06372,,,,4.493300000000001,2.90689,
"Chickpea, var. Kabuli, seed, raw",7.69,21.07,5.94,,,,6.56,2.7,
"Mung bean, var. KM-1, seed, raw",10.5,21.0325,1.60205,,,,4.3139,3.28465,
"Chickpea, var. Lawaghar, seed, raw",9.0,16.198,5.278,,,,5.896800000000001,1.6653,
"Chickpea, 'Sultano', seed, raw",9.77,19.33,4.69,57.98,,,5.1,3.13,
"Chickpea, 'Cairo', seed, raw",10.19,20.51,4.04,57.29,,,5.08,2.89,
"Chickpea, 'Vulcano', seed, raw",9.36,20.54,5.6,56.79,,,4.93,2.78,
"Chickpea, 'Etna', seed, raw",10.01,20.34,6.01,54.72,,,5.71,3.21,
"Chickpea, 'Principe', seed, raw",9.83,17.51,4.23,59.92,,,5.47,3.04,
"Chickpea, 'Molian', seed, raw",9.91,23.53,4.4,54.15,,,5.04,2.97,
"Chickpea, 'PA 21', seed, raw",10.15,20.74,6.19,55.4,,,4.8,2.72,
"Chickpea, 'PA 3', seed, raw",10.11,18.96,5.5,56.68,,,6.01,2.74,
"Chickpea, 'PA 34', seed, raw",10.24,20.61,5.95,55.13,,,5.12,2.95,
"Chickpea, 'Ares', seed, raw",9.83,20.56,4.7,56.81,,,4.87,3.23,
"Chickpea, 'Corlian', seed, raw",10.43,20.26,5.67,55.61,,,5.11,2.92,
"Chickpea, 'Visir', seed, raw",9.99,15.22,5.28,62.13,,,4.65,2.73,
"Chickpea, 'Cancellara', seed, raw",9.56,19.61,5.24,56.83,,,6.02,2.74,
"Chickpea, 'Krema', seed, raw",9.77,17.96,4.95,59.08,,,5.34,2.9,
"Chickpea, 'Nero', seed, raw",9.86,18.92,4.55,57.72,,,5.67,3.28,
"Chickpea, Desi, var. CM 72, seed, raw",7.6,22.5,2.05,,5.0,,13.2,3.1,
"Chickpea, Desi, var. Bittal 98, seed, raw",6.7,22.25,2.07,,5.1,,13.7,3.22,
"Chickpea, Desi, var. Punjab 2000, seed, raw",6.3,22.19,2.1,,5.0,,14.1,3.15,
"Chickpea, Kabuli, seed, raw",13.4,20.0,13.5,,,,6.4,3.5,
"Chickpea, Kabuli, 'Giza 1', seed, whole, raw",11.41,18.33813,5.678619,,,,,3.508164,
"Chickpea, Kabuli, 'Giza 1', seed, dehulled, raw",10.61,19.12946,6.051703,,,,,3.164406,
"Chickpea, Kabuli, 'Giza 2-L', seed, whole, raw",9.64,21.05388,5.629428000000001,,,,,3.135492000000001,
"Chickpea, Kabuli, 'Giza 2-L', seed, dehulled, raw",10.28,22.07112,5.885631999999999,,,,,2.9159,
"Chickpea, Kabuli, 'Giza 2-U', seed, whole, raw",9.5,21.177,6.05445,,,,,2.3892,
"Chickpea, Kabuli, 'Giza 2-U', seed, dehulled, raw",9.45,22.36585,6.094015000000001,,,,,2.182255,
"Bambara nut, KARI/BN/  BK- 3, seed, raw",11.22,16.06,6.24,34.3,,28.9,,3.21,
"Bambara nut, KARI/BN/ 4, seed, raw",9.33,19.2,6.27,32.0,,29.5,,3.74,
"Bambara nut, KARI/BN/ 13, seed, raw",8.88,19.34,6.84,31.2,,30.4,,3.41,
"Bambara nut, KARI/BN/ 21, seed, raw",8.67,17.7,7.27,38.3,,24.0,,3.93,
"Cowpea, L25, raw",,19.43688,2.041764,51.427488,,12.607224,,3.646644,
"Cowpea, IT84E/108, raw",,23.7299,1.606525,47.253375,,13.130425,,4.029775,
"Cowpea, IFE BIMPE, raw",,23.242187,1.651865,51.60962000000001,,9.10758,,3.678748000000001,
"Cowpea, IT85F/3106, raw",,23.43967600000001,1.678088,50.369418,,10.336308,,3.427584,
"Cowpea, H 113-4, raw",,18.496192,2.173392,54.52262399999999,,10.670192,,3.5776,
"Cowpea, K59, raw",,20.761345,1.958955,52.58765500000001,,10.93079,,3.211255,
"Cowpea, IFH 101, raw",,25.331988,1.303196,47.7541,,11.541318,,3.338324000000001,
"Cowpea, IT 81D-975, raw",,21.121384,1.563216,54.12860000000001,,9.56796,,3.45884,
"Cowpea, TVx 3236, raw",,22.608025,1.23855,53.230725,,9.53145,,3.14125,
"Cowpea, 12 AK, raw",,21.29792,1.39776,51.27807999999999,,12.12288,,3.50336,
"Cowpea, IT 83s -797, raw",,21.447458,1.401853,50.868513,,12.304162,,3.348375,
"Cowpea, MP BROWN, raw",,22.3575,1.690227,50.86778400000001,,10.516968,,3.988578,
"Cowpea, IFE BROWN, raw",,23.74416,1.870752,51.283788,,9.326778,,3.723516,
"Common bean, Carioca, seeds, raw",13.99666666666667,19.98188405797102,1.256666666666667,,,18.42,,3.543333333333333,
"Common bean, Jalo, seeds, raw",13.53333333333333,20.10416666666667,0.9466666666666668,,,30.32,,3.936666666666667,
"Common bean, Black, seeds, raw",14.87666666666666,21.34420289855072,1.24,,,21.83333333333333,,3.786666666666666,
"Common bean, Rajado, seeds, raw",14.96333333333333,17.27083333333333,1.17,,,24.00666666666667,,3.666666666666667,
"Common bean, Rosinha, seeds, raw",11.95333333333333,20.91666666666667,1.33,,,20.62666666666667,,3.576666666666666,
"Common bean, Roxo, seeds, raw",12.63666666666666,22.16666666666667,1.236666666666667,,,33.84333333333333,,3.973333333333333,
"White lupin, fruits, seeds, raw",74.79,14.28666666666667,,0.18,,8.176666666666668,,0.4599999999999999,
"Cowpea, legume, fresh, raw",88.64666666666666,3.23,,3.686666666666667,,3.306666666666666,,0.66,
"Bush nut/ water chestnut, fruit, raw",45.4,2.6,,35.9,,,,2.4,
"Waterlily seeds, fruit, raw",75.5,1.3,,18.1,,,,1.8,
"Desert oak, green seed, raw",56.8,23.7,,6.4,,,,1.6,
"Murray's wattle, seed, raw",5.4,18.1,,37.6,,,,4.2,
"Mulga, seed, raw",1.6,25.0,,29.2,,,,2.9,
"Bramble wattle, seed, raw",4.9,17.0,,40.8,,,,4.1,
"Crested wattle, seed, raw",6.5,18.4,,34.9,,,,3.2,
"Kurrajong, seed, raw",5.6,18.1,,14.6,,,,3.5,
"Pigweed, seed, raw",5.6,18.5,,32.4,,,,12.0,
"Marula, nut, raw",4.0,28.3,57.3,3.7,,,2.9,3.8,
"Baobab, dead-rat tree/ monkey-bread tree/ upside-down tree/ cream of tartar tree, fruit flesh, raw
",8.1,33.7,30.6,4.8,,,16.9,5.9,
"Nut, raw",1.9,26.3,65.1,1.0,,,2.6,2.3,
"Mobola Plum, nut, raw",2.6,28.7,58.0,3.7,,,4.3,2.7,
"Nara, nut, raw",5.3,30.7,57.0,2.3,,,1.3,3.4,
"Tsama melon, seed without testa, raw",5.7,17.9,20.2,12.5,,,41.8,1.9,
"Oyster nut, seed without testa, raw",2.8,22.9,61.6,6.4,,,3.5,2.8,
"Mongongo fruit/ mongongo nut/ manketti nut, raw",4.2,26.3,58.1,4.6,,,2.7,4.1,
"Apple-ring Acacia/ Ana Tree/ Winter Thorn, seed without testa, raw",6.5,24.8,2.2,55.8,,,6.8,3.9,
"Camel Thorn/ Giraffe Thorn, seed without testa, raw",8.0,25.8,4.6,46.0,,,11.4,4.2,
"Seed without testa, Bauhinia petersiana, raw",6.8,22.9,13.1,40.2,,,12.9,4.1,
"African Rosewood/ False Mopane/ Rhodesian Copalwood, seed without testa, raw",9.1,14.3,8.0,62.3,,,4.4,1.9,
"Hyacinth bean/ Indian bean/ Egyptian bean, seed without testa, raw",9.9,19.7,1.0,58.2,,,7.8,3.4,
"Camel-foot, seed without testa, raw",9.9,22.7,2.7,53.4,,,7.9,3.4,
"Karoo boer-bean, seed without testa, raw",8.0,11.6,2.6,62.7,,,13.0,2.5,
"Morama bean, seed without testa, raw",3.7,32.9,37.8,20.5,,,2.1,3.0,
"Creeping bauhinia/ Marama bean/ Tamani berry, seed without testa, raw",9.2,22.0,14.2,32.9,,,18.2,3.5,
"Bambara groundnut, seed without testa, raw",7.3,18.4,6.9,59.5,,,4.3,3.6,
"Mashatu tree/ Nyala tree, seed without testa, raw",9.0,11.2,16.3,55.3,,,5.9,2.3,
"Natal Mahogany, seed without testa, raw",49.0,4.9,27.8,14.0,,,2.5,1.8,
"Common signal grass, seed without testa, raw",5.8,8.1,1.9,42.2,,,34.4,7.6,
"Egyptian crowfoot grass, seed without testa, raw",7.5,9.8,1.8,59.6,,,17.0,4.3,
"Finger millet, seed without testa, raw",9.2,6.2,1.5,75.1,,,2.9,5.1,
"African bristlegrass, seed without testa, raw",5.0,11.1,2.1,41.3,,,29.9,10.6,
"Foxtail bristlegrass, seed without testa, raw",8.4,14.3,4.8,61.3,,,8.1,3.1,
"Seed without testa, raw",8.0,16.6,33.6,37.1,,,1.5,3.2,
"Lowveld Chestnut, seed without testa, raw",15.1,16.2,18.5,45.3,,,1.2,3.7,
"Giant White Bird of Paradise/ Wild Banana, seed without testa, raw",1.9,3.6,65.7,10.5,,,17.8,0.5,
"Baobab, seed, raw",4.3,18.4,,45.1,,,16.2,3.8,
"Baobab, seed flour, raw",4.8,34.5576,,,10.7,13.4232,,8.6632,
"Sour sop, seed flour, raw",8.5,2.4,20.5,47.1,,,8.0,13.5,
"Back velvet tamarind, seed, raw",5.9,15.7,5.4,64.0,,,6.6,2.5,
"Waterlily stalk, raw",94.6,0.1,,4.5,,,,0.2,
"Bush banana, leaves, raw",60.6,3.3,,21.3,,,,3.9,
"Leaf, raw",83.0,2.4,0.3,10.8,,,1.7,1.8,
"Leaf, Amaranthus hybridus vaRaphionacme hybridus, raw",84.9,3.5,0.3,6.9,,,1.5,2.0,
"Slim amaranth, leaf, raw",84.9,3.4,0.2,5.0,,,2.4,4.1,
"Spiny amaranth/ prickly amaranth/ thorny amaranth, leaf, raw",84.9,5.0,0.2,3.5,,,1.3,5.1,
"Thunberg's amaranth, leaf,  raw",84.9,4.0,0.2,3.7,,,2.6,4.7,
"Karee, leaf, raw",86.4,1.8,0.3,8.7,,,1.7,1.1,
"Indian Pennywort/ Pennywort, leaf, raw",81.5,3.2,1.3,8.3,,,2.4,3.3,
"Leaf, raw",85.6,3.8,0.8,5.5,,,2.0,2.3,
"African heart-vine, leaf, raw",85.0,3.5,0.5,6.7,,,2.0,2.2,
"Spanish needle, leaf, raw",84.8,3.4,0.4,7.1,,,1.7,2.6,
"Flax-leaf fleabane/ Wavy-leaf fleabane, leaf, raw",79.4,3.2,0.2,10.4,,,3.3,3.5,
"Guasca/ Mielcilla/ Galinsoga/ gallant soldier, leaf, raw",88.4,3.2,0.4,5.2,,,1.1,1.7,
"Sharp-fringed sow thistle/ Prickly sow thistle/ Spiny sow thistle/ Spiny-leaved sow thistle, leaf, raw",87.7,2.3,0.5,4.7,,,1.6,3.2,
"Sowthistle/ Sow thistle/ Smooth sow thistle/ Annual sow thistle/ Hare's Colwort/ Hare's thistle/ Milky tassel/ Swinies, leaf, raw",89.9,2.2,0.5,2.9,,,1.5,3.0,
"Milk thistle, leaf, raw",89.2,2.8,0.4,4.9,,,1.1,1.6,
"Wild Radish/ Jointed charlock, leaf, raw",87.4,3.7,0.3,4.1,,,1.4,3.1,
"Leaf, raw",82.4,4.9,0.3,6.2,,,3.0,3.2,
"African turnip weed, leaf, raw",79.0,5.1,0.3,5.5,,,3.0,7.1,
"African cabbage, leaf, raw",85.0,4.6,0.9,3.8,,,2.5,3.2,
"Chickweed, leaf, raw",89.1,2.5,0.4,4.6,,,1.6,1.8,
"Lamb's quarters/ goosefoot/ fat-hen, leaf, raw",85.0,4.4,0.3,4.3,,,1.6,4.4,
"Leafy goosefoot, leaf, raw",82.8,3.0,0.3,7.3,,,3.4,3.2,
"Nettle-leaved Goosefoot/ Australian-spinach/ salt-green/ sowbane, leaf, raw",81.8,4.8,0.4,5.2,,,2.4,5.4,
"Obscure morning glory/ Small white morning glory, leaf, raw",56.6,8.8,1.4,21.9,,,7.4,3.9,
"Leaf, raw",92.2,1.3,0.3,3.4,,,1.2,1.6,
"African cucumber/ balsam apple/ balsam pear/ balsamina/ southern balsam pear, leaf, raw",75.4,6.4,0.2,9.2,,,3.9,4.9,
"River pumpkin, leaf, raw",93.1,0.6,0.1,3.0,,,2.1,1.1,
"Zebra leaf aloe/ Tiger aloe, leaf, raw",93.2,0.5,0.1,5.1,,,0.1,1.0,
"Leaf, raw",47.0,3.3,0.4,47.8,,,0.7,0.8,
"Awned squill, leaf, raw",70.9,2.3,0.2,24.4,,,0.7,1.5,
"Angled ice plant, leaf, raw",91.3,1.3,0.1,0.9,,,0.8,5.6,
"Common dock/ smooth dock, leaf, raw",82.8,4.6,0.7,8.2,,,1.8,1.9,
"Dwarf Jade Plant/ Elephant's Food/ Elephant Bush, leaf, raw",84.0,1.4,0.4,10.3,,,1.9,2.0,
"Verdolaga/ Pigweed/ Little Hogweed/ Pusley, leaf, raw",93.2,2.2,0.1,2.0,,,1.0,2.5,
"Leaf, raw",87.1,2.0,0.4,7.7,,,1.2,1.6,
"Leaf, raw",73.3,1.1,0.8,19.0,,,1.2,4.6,
"Kalahari butterweed, leaf, raw",93.1,1.6,0.2,4.2,,,0.7,0.2,
"Leaf, raw",91.0,3.4,0.1,3.5,,,0.6,1.4,
"Starhair groundcherry/ grape groundcherry, leaf, raw",82.8,4.9,0.6,7.3,,,1.7,2.7,
"Black nightshade, leaf, raw",82.5,5.3,0.4,5.3,,,2.8,3.7,
"Leaf, raw",72.1,4.8,0.7,12.9,,,6.5,3.0,
"Indian jute, leaf, raw",70.5,4.6,0.5,13.6,,,7.3,3.5,
"Annual Nettle/ Dwarf Nettle/ Small Nettle, leaf, raw",80.2,5.4,0.7,6.7,,,2.1,4.9,
"Succulent stem, raw",88.4,0.7,0.2,7.8,,,1.6,1.3,
"Succulent stem, raw",93.9,0.3,0.2,4.1,,,0.7,0.8,
"Succulent stem, raw",94.7,0.6,0.1,3.6,,,0.4,0.6,
"Carrion flower, succulent stem, raw",93.6,0.7,0.3,3.2,,,0.9,1.3,
"Succulent stem, raw",94.2,0.2,0.02,4.1,,,0.8,0.7,
"Succulent stem, raw",91.1,0.8,0.2,5.3,,,1.1,1.5,
"Wild onion, stem, raw",73.9,1.2,0.2,14.2,,,9.8,0.7,
"Hotnots Cabbage/ Buck cabbage/ Field cabbage, stem, raw",89.6,0.8,0.1,6.1,,,2.2,1.2,
"Hotnots cabbage/ Buck cabbage/ Field cabbage, stem with flowers, raw",84.9,2.2,0.5,7.5,,,2.8,2.1,
"Albuca, flowers and stems, raw",93.5,0.3,0.1,5.5,,,0.2,0.4,
"Mushroom, raw",76.1,5.0,0.7,13.5,,,3.5,1.2,
"Shaggy ink cap/ lawyer's wig/ shaggy mane, mushroom, raw",90.8,2.1,0.1,5.0,,,1.2,0.8,
"Kalahari truffle, mushroom, raw",80.1,4.1,3.5,8.1,,,2.6,1.6,
"Cowpea, seed without testa, fresh, raw",79.6,2.1,0.2,15.4,,,1.6,1.1,
"Wild Onion, bulb, peeled, fresh, raw",65.2,3.1,0.1,29.6,,,0.9,1.1,
"Cassava, very young leaves, raw",89.1,,,4.9922,,,0.904700000000001,0.436,
"Cassava, young leaves, raw",82.6,,,7.5864,,,2.8536,0.957,
"Cassava, mature leaves, raw",81.4,,,7.8692,,,5.6444,1.6274,
"Amaranth, leaves, raw",88.5,4.3,0.8,2.6,,,1.6,2.2,
"Fluted pumpkin, leaves, raw",91.9,1.8,0.8,2.1,,,1.4,2.0,
"Gnetum vegetable, leaves, raw",86.4,5.2,0.7,3.6,,,1.8,2.3,
"Creeping spinach, leaves, raw",86.2,3.8,0.7,6.3,,,1.3,1.7,
"Bush okro, leaves, raw",88.7,2.0,0.7,4.7,,,1.6,2.3,
"Cocoyam, leaves, raw",88.1,3.1,0.5,5.0,,,1.3,2.0,
"Green leafy vegetable, raw",83.6,,0.8200000000000003,7.134000000000002,,,,2.2632,
"Mediterranean amaranth, raw",72.7,,1.0647,10.1283,,,,6.006,
"Desert date, raw",63.5,,0.9125,14.8555,,,,4.5625,
"silver cock's comb, raw",84.1,,0.4611000000000001,4.881300000000001,,,,3.8001,
"Ivy gourd, raw",78.5,,0.7525000000000001,7.5035,,,,3.268,
"Threelocule corchorus, raw",83.9,,0.2414999999999999,8.323699999999997,,,,2.4794,
"Green leafy vegetable, raw",80.6,,0.5238000000000003,6.072200000000001,,,,4.9664,
"Justicia, raw",73.4,,0.7713999999999998,9.017399999999997,,,,6.7298,
"Achicoria azul, raw",80.1,,0.7363000000000003,7.979900000000002,,,,4.2586,
"Green leafy vegetable, raw",76.9,,1.2705,10.5105,,,,3.1878,
"Green leafy vegetable, raw",90.5,,0.2945,5.7475,,,,1.254,
"Green leafy vegetable, raw",77.0,,0.759,8.74,,,,3.565,
"Green leafy vegetable, raw",90.9,,0.2820999999999998,3.348799999999998,,,,2.2386,
"Cassava, leaves, MU22, very young (expanding leaves)",89.1,,,,,,0.9047000000000004,0.4360000000000002,
"Cassava, leaves, MU22, young (fully expanded leaves)",82.6,,,,,,2.853600000000001,0.9570000000000004,
"Cassava, leaves, MU22, matured",79.4,,,,,,5.644399999999998,1.6274,
"Fennel, leaves, raw",88.38999999999999,2.153333333333334,,3.846666666666666,,3.576666666666667,,1.78203594341064,
"Sorrel,  leaves, raw",92.25,0.6866666666666666,,4.016666666666667,,1.396666666666667,,1.496666666666667,
"Wild raddish,  shoots and leaves, raw",90.96999999999998,1.486666666666667,,3.646666666666667,,2.23,,1.446666666666666,
"N/A, basal leaves, raw",89.20333333333333,1.573333333333334,,1.876666666666667,,4.646666666666667,,2.39,
"Chicory, leaves and roots, raw",91.08333333333331,0.5299999999999999,,2.116666666666667,,4.446666666666666,,1.54,
"Sea beet, basal leaves, raw",89.23,2.416666666666667,,1.263333333333333,,5.266666666666667,,1.636666666666667,
"Golden thistle, roots and leaves, raw",92.93,0.4766666666666666,,1.3,,4.213333333333334,,0.8266666666666668,
"Starflower, leaves, raw",89.64333333333332,0.4266666666666667,,2.326666666666667,,5.68,,1.793333333333333,
"Shepherd's-purse, leaves, raw",90.99,2.656666666666667,,2.4,,1.356666666666667,,1.64,
"Crown Daisy, sprouts, raw",90.26333333333332,1.58,,0.84,,5.71,,1.3,
"Alisa0ers, Horse parsley, shoots a0 leaves, raw",89.16000000000001,0.66,,3.373333333333333,,5.173333333333333,,1.516666666666667,
"Glasswort, plant, raw",87.18,0.8566666666666666,,5.82,,2.626666666666666,,3.02,
"Rock samphire, plant and leaves, raw",88.87333333333333,0.31,,2.476666666666667,,5.696666666666666,,2.246666666666667,
"Ground elder, leaves, raw",90.49666666666668,1.036666666666667,,1.083333333333333,,5.173333333333333,,1.836666666666667,
Corky-fruited water-dropwort,92.64,1.138333333333333,,2.07,,2.21,,1.566666666666667,
"Watercress,  leaves, raw",87.67,4.846666666666667,,0.33,,4.420000000000001,,2.33,
"Rush skeletonweed, leaves, raw",89.77,3.22,,3.613333333333333,,1.373333333333333,,1.32,
"Star-of-Bethlehem, leaves and bulbs, raw",86.99333333333334,0.5266666666666667,,8.926666666666668,,2.453333333333333,,0.8366666666666666,
"Common chicory, leaves, raw",91.55,1.583333333333333,,0.3833333333333333,,4.47,,1.19,
"Black bryony, leaves, raw",89.43,1.376666666666667,,1.323333333333333,,6.5,,0.9366666666666666,
"N/A,  leaves, raw",87.59666666666668,0.1866666666666666,,6.023333333333333,,3.546666666666667,,1.796666666666667,
"Catbriers, greenbriers, shoots, raw",82.63666666666667,3.926666666666665,,3.883333333333333,,8.173333333333332,,0.97,
"Lmab's quarters, leaves and shoots, raw",92.63666666666666,0.9766666666666666,,2.25,,2.213333333333333,,1.573333333333334,
"Curly dock, yellow dock,  leaves, raw",90.55333333333334,1.846666666666667,,1.06,,5.05,,1.13,
"Indian knotgrass, leaves, raw",77.94333333333333,2.063333333333333,,6.77,,9.52,,3.046666666666667,
"N/A, leaves, raw",83.37,1.936666666666667,,1.36,,10.76333333333333,,1.706666666666667,
"Tumbleweed, root collar",90.44,1.146666666666667,,3.456666666666667,,3.366666666666667,,1.456666666666667,
"Caper bush, fruits, fresh",80.58,4.1,,9.42,,4.29,,1.086666666666667,
"N/A,  root",26.93666666666667,3.63,,14.53666666666667,,42.70666666666667,,10.06,
"N/A,  root",7.306666666666668,6.626666666666666,,68.49333333333334,,6.890000000000001,,10.14333333333333,
"N/A, fruits, seeds, raw",59.35,0.2766666666666666,,12.67333333333333,,25.47666666666667,,1.376666666666667,
"Saffron milk cap, mushroom, raw",91.87666666666668,0.1666666666666666,,2.856666666666667,,4.05,,0.66,
"Calamus, rhizoms",14.38333333333333,0.5599999999999999,,44.31333333333333,,30.93,,6.433333333333334,
"Banana, Gran Enana, peeled, ripe, raw",77.75,1.56,,,17.9,2.45,,1.0,
"Banana, Pequeña Enana, peeled, ripe, raw",77.45,1.61,,,16.83,2.34,,0.97,
"Bush banana, australis, fruit, raw",84.9,8.1,,4.4,,,,1.2,
"Bush cucumber, fruit, raw",80.7,3.4,,10.7,,,,2.2,
"Waterlily pods, fruit, raw",69.7,2.8,,18.0,,,,0.8,
"Bush fruit, raw",67.6,0.7,,18.4,,,,0.8,
"Bush plum, fruit, raw",62.9,4.8,,24.4,,,,1.0,
"Bush tomato, fruit, raw",78.2,1.8,,15.1,,,,1.1,
"Bush apple, fruit, raw",89.1,0.4,,3.9,,,,0.6,
"Wild orange, raw",42.0,3.7,,25.2,,,,2.5,
"Native orange, raw",54.1,10.1,,18.9,,,,1.8,
"Wild orange, raw",57.9,7.3,,20.0,,,,1.9,
"Coastal caper, fruit, raw",79.6,4.6,,3.2,,,,1.8,
"Native pomegranate, fruit, raw",51.5,8.8,,25.2,,,,1.8,
